COIN: -2.25%*--
COLB: -1.04%
CRBG: -0.89%
CRVL: 0.40%+
DB: -3.30%
DFS: 3.55%++
DNB: 20财-0.94%--
EG: -0.56%
EQH: 0.29%++
ERIE: -0.49%
ESGR: 18财0.11%++
ESNT: -0.83%--
EVR: -2.35%
EWBC: -1.03%
FAF: 0.90%++
FCFS: -0.99%
FCNCA: -0.40%
FDS: 1.32%+
FFIN: -0.27%
FG: 20财-2.28%-
FHN: -0.23%
FITB: -0.25%
FLG: 1.62%*
FNB: -0.58%
FNF: 20财0.19%++
FSK: 0.46%++
FUTU: -1.78%
GBCI: -0.67%
GL: 0.14%+
GS: -0.60%
HBAN: -0.36%*
HDB: 0.40%++
HIG: 0.11%+
HLI: 0.53%+
HLNE: 0.28%++
HOMB: -0.33%
HOOD: -2.00%*-
HSBC: 18财0.14%+
HWC: -1.59%--
IBKR: -1.22%
IBN: 2.19%
ICE: 0.28%
ING: -2.29%
IVZ: -1.78%
IX: -0.60%-
JEF: -3.39%
JHG: -0.75%-
JPM: -0.25%*
JXN: 19财-4.39%
KB: -0.43%
KEY: 0.39%*++
KKR: -1.51%
KNSL: -0.42%--
L: -0.23%
LAZ: -1.46%-
LNC: 0.31%
LPLA: 0.88%++
LU: -2.40%
LYG: 20财-1.57%*-
MA: -0.02%
MAIN: 1.58%++
MC: 0.53%++
MCO: -0.06%--
MET: 0.78%+
MFC: 19财-0.77%
MFG: 0.34%++
MKL: -0.90%
MKTX: -1.31%
MMC: 0.43%+
MORN: -0.08%
MS: -0.01%
MSCI: 0.36%++
MTB: -0.69%
MTG: -0.81%
MUFG: -1.43%
NDAQ: 1.66%+
NMR: -0.30%--
NTRS: -0.05%
NU: 20财-0.44%*--
NWG: -1.93%
OBDC: 19财0.45%++
OMF: -1.04%
ONB: 0.37%++
ORI: 0.25%+
OWL: -0.62%
OZK: -1.83%--
PB: -0.72%
PDI: 0.05%++
PFG: -0.47%
PFSI: 0.24%++
PGR: 19财2.16%++
PIPR: -0.92%
PJT: 0.19%+
PNC: -1.18%
PNFP: -0.82%
PRI: -0.66%
PRU: -0.12%
PSLV: -0.45%*
PUK: -2.61%
PYPL: -0.33%*
QFIN: -2.76%
RDN: 0.18%
RF: -0.57%
RGA: -0.84%
RJF: -0.83%
RKT: 20财-0.46%
RLI: -0.84%--
RNR: -1.11%
RY: -0.28%
RYAN: 20财-0.36%
SAN: -1.97%*
SCHW: 0.65%*+
SEIC: 0.00%
SF: -0.77%
SFBS: -0.44%
SHG: -1.22%
SIGI: -3.11%
SLF: 0.85%+
SLM: -0.03%
SMFG: 0.96%++
SNV: -0.79%
SOFI: -3.86%*
SPGI: -0.20%
SSB: -0.68%
STEP: -0.55%
STT: -0.63%
SYF: 0.46%*++
TD: 0.13%+
TFC: -0.17%*
THG: -0.83%--
TPG: 0.10%++
TROW: 0.44%+
TRU: -0.73%--
TRV: 1.66%+
TW: 1.82%+
UBS: -1.57%
UBSI: -1.13%
UMBF: -0.80%
UNM: 1.24%
UPST: -4.35%*
USB: -1.71%*
UWMC: 0.77%++
V: -0.42%
VIRT: 1.43%+
VLY: -0.20%*
VOYA: -1.41%
WAL: 1.23%++
WBS: -0.68%-
WF: 0.00%
WFC: -0.53%*
WRB: 0.48%+
WTFC: -0.57%
WTM: 1.15%+
WTW: 1.04%+
XP: 18财-1.26%
ZION: -0.56%
A: 1.44%+
ABBV: 0.56%+
ABT: 1.50%
ACHC: -0.49%
ACLX: -1.49%-
ADMA: -0.62%
ALC: 0.12%
ALGN: -0.22%-
ALKS: -0.17%
ALNY: 0.20%
AMGN: 0.50%+
APLS: 0.75%+
ARGX: 0.18%
ASND: -0.69%
ATR: 0.10%++
AVTR: 1.90%*
AXSM: 18财-0.88%--
AZN: -1.32%
BAX: -1.22%*
BBIO: 20财2.25%++
BDX: 1.08%+
BHVN: -0.38%--
BIIB: 0.08%
BIO: 0.18%+
BLCO: 19财-0.31%--
BMRN: 19财1.16%++
BMY: 1.01%*+
BNTX: -2.58%
BPMC: 1.72%
BRKR: 1.56%+
BSX: 0.30%
CAH: 0.40%+
CHE: 0.96%
CI: 0.84%+
CNC: 3.09%*
COO: -0.95%*--
COR: 1.65%
CRL: 19财6.87%+
CRNX: 3.01%+
CRSP: 1.53%++
CVS: 1.27%*
CYTK: 2.23%
DGX: 1.24%++
DHR: 0.22%
DOCS: -1.60%
DVA: -0.06%--
DXCM: -0.94%
EHC: -0.61%
ELAN: -0.71%
ELV: 2.41%
ENSG: -0.74%
EW: -1.32%-
EXEL: 2.54%
FMS: -1.61%
GEHC: -0.16%
GH: 20财1.51%++
GILD: 2.28%*+
GKOS: 20财4.98%
GMAB: 0.92%++
GMED: 20财-0.87%
GRFS: 0.00%
GSK: -0.19%
HALO: 18财-0.22%--
HCA: 1.22%+
HLN: -0.10%
HOLX: 0.42%+
HQY: 0.48%+
HSIC: 0.26%+
HUM: 3.22%++
IBRX: 16.42%*
ICLR: 19财1.42%++
IDXX: 0.43%+
ILMN: 1.89%+
INCY: -1.56%
INSM: 20财3.04%++
INSP: -0.76%--
IONS: 19财-0.44%
IQV: 1.74%
ISRG: 1.26%++
ITCI: 20财0.50%+
JAZZ: -0.32%
JNJ: 1.87%*
KRYS: 19财12.43%+
LEGN: 1.39%++
LH: 0.62%
LLY: 1.15%+
LNTH: 20财-2.42%
MASI: -0.52%-
MCK: 0.55%+
MDGL: 1.11%+
MDT: 18财1.08%*
MEDP: 0.94%+
MMSI: -2.72%
MOH: 6.79%
MRK: 2.77%*+
MRNA: 0.42%*++
MTD: 2.34%+
NBIX: 0.25%
NTRA: 1.91%
NUVL: 1.35%+
NVO: 1.30%*+
NVS: 0.28%+
OGN: -1.23%
OPCH: 0.81%+
